episode,steps,reward,avg_reward_100,avg_reward_20,loss,total_steps,elapsed_sec
1,31,-10.50,-10.50,-10.50,,31,19.9
2,22,-21.00,-15.75,-15.75,,53,39.9
3,42,-13.00,-14.83,-14.83,,95,69.9
4,42,-11.50,-14.00,-14.00,,137,100.1
5,34,-13.50,-13.90,-13.90,,171,126.3
6,34,-12.00,-13.58,-13.58,,205,152.5
7,33,-14.50,-13.71,-13.71,,238,178.7
8,22,-9.00,-13.12,-13.12,,260,205.2
9,35,-0.50,-11.72,-11.72,,295,231.9
10,34,-3.00,-10.85,-10.85,,329,258.1
11,33,-15.00,-11.23,-11.23,,362,284.2
12,37,-5.00,-10.71,-10.71,,399,312.3
13,30,-9.00,-10.58,-10.58,,429,336.7
14,34,-12.00,-10.68,-10.68,,463,363.0
15,38,-3.50,-10.20,-10.20,,501,391.3
16,23,-15.00,-10.50,-10.50,,524,417.6
17,38,-6.50,-10.26,-10.26,,562,445.8
18,35,-15.50,-10.56,-10.56,,597,472.5
19,35,-9.50,-10.50,-10.50,,632,499.4
20,34,-3.00,-10.12,-10.12,,666,525.7
21,37,-3.00,-9.79,-9.75,,703,554.0
22,30,-10.00,-9.80,-9.20,,733,578.6
23,34,-4.50,-9.57,-8.78,,767,605.0
24,22,-1.50,-9.23,-8.28,,789,631.3
25,33,-15.00,-9.46,-8.35,,822,657.6
26,37,-6.00,-9.33,-8.05,,859,685.6
27,30,-10.00,-9.35,-7.83,,889,710.1
28,34,-3.50,-9.14,-7.55,,923,736.5
29,38,-3.50,-8.95,-7.70,,961,764.8
30,34,-3.50,-8.77,-7.72,,995,791.1
31,31,-6.00,-8.68,-7.28,,1026,821.5
32,36,-7.00,-8.62,-7.38,,1062,848.8
33,34,-4.50,-8.50,-7.15,,1096,875.3
34,34,-13.50,-8.65,-7.22,,1130,901.6
35,35,-8.50,-8.64,-7.47,,1165,928.7
36,34,-1.50,-8.44,-6.80,,1199,955.1
37,34,-12.00,-8.54,-7.08,,1233,981.5
38,38,-3.50,-8.41,-6.47,,1271,1009.9
39,23,-1.00,-8.22,-6.05,,1294,1036.0
40,34,-15.50,-8.40,-6.67,,1328,1062.5
41,34,-3.50,-8.28,-6.70,,1362,1088.9
42,40,-13.50,-8.40,-6.88,,1402,1118.3
43,37,-6.00,-8.35,-6.95,,1439,1146.3
44,30,-12.00,-8.43,-7.47,,1469,1170.8
45,34,-14.00,-8.56,-7.42,,1503,1197.2
46,34,-13.50,-8.66,-7.80,,1537,1229.1
47,34,-13.50,-8.77,-7.97,,1571,1255.5
48,34,-3.00,-8.65,-7.95,,1605,1282.0
49,35,-11.00,-8.69,-8.32,,1640,1308.9
50,34,-13.50,-8.79,-8.82,,1674,1335.3
51,37,-6.50,-8.75,-8.85,,1711,1363.4
52,34,-15.00,-8.87,-9.25,,1745,1389.8
53,35,-9.50,-8.88,-9.50,,1780,1416.7
54,24,-1.50,-8.74,-8.90,,1804,1443.3
55,38,-2.50,-8.63,-8.60,,1842,1471.7
56,30,-12.00,-8.69,-9.12,,1872,1496.1
57,35,-8.50,-8.68,-8.95,,1907,1523.0
58,34,-3.00,-8.59,-8.93,,1941,1549.3
59,37,-4.50,-8.52,-9.10,,1978,1577.3
60,34,-13.50,-8.60,-9.00,,2012,1603.8
61,36,-10.00,-8.62,-9.32,,2048,1636.7
62,34,-3.00,-8.53,-8.80,,2082,1662.9
63,38,-5.00,-8.48,-8.75,,2120,1691.5
64,37,-6.50,-8.45,-8.47,,2157,1719.5
65,30,-13.00,-8.52,-8.43,,2187,1743.8
66,36,-11.50,-8.56,-8.32,,2223,1771.2
67,34,-1.50,-8.46,-7.72,,2257,1797.4
68,34,-12.50,-8.51,-8.20,,2291,1823.8
69,24,-10.00,-8.54,-8.15,,2315,1850.7
70,37,-4.50,-8.48,-7.70,,2352,1878.6
71,34,-3.00,-8.40,-7.53,,2386,1904.9
72,37,-3.50,-8.33,-6.95,,2423,1933.0
73,38,-5.00,-8.29,-6.72,,2461,1961.5
74,34,-12.00,-8.34,-7.25,,2495,1987.9
75,37,-4.50,-8.29,-7.35,,2532,2015.9
76,30,-7.00,-8.27,-7.10,,2562,2045.8
77,34,-12.00,-8.32,-7.28,,2596,2072.1
78,35,-11.00,-8.35,-7.67,,2631,2098.9
79,33,-13.50,-8.42,-8.12,,2664,2125.0
80,37,-6.00,-8.39,-7.75,,2701,2152.9
81,34,-13.50,-8.45,-7.92,,2735,2179.3
82,34,-13.50,-8.51,-8.45,,2769,2205.7
83,37,-5.00,-8.47,-8.45,,2806,2233.6
84,24,-17.50,-8.58,-9.00,,2830,2260.1
85,34,-15.00,-8.65,-9.10,,2864,2286.4
86,38,-5.50,-8.62,-8.80,,2902,2314.9
87,34,-3.00,-8.55,-8.88,,2936,2341.1
88,34,-14.00,-8.61,-8.95,,2970,2367.5
89,35,-6.50,-8.59,-8.78,,3005,2394.5
90,37,-3.00,-8.53,-8.70,,3042,2422.4
91,32,-11.00,-8.55,-9.10,,3074,2453.6
92,30,-11.50,-8.59,-9.50,,3104,2477.8
93,34,-12.00,-8.62,-9.85,,3138,2504.1
