episode,steps,reward,avg_reward_100,avg_reward_20,loss,total_steps,elapsed_sec
1,52,-5.50,-5.50,-5.50,,52,30.9
2,26,-13.00,-9.25,-9.25,,78,52.9
3,37,-14.50,-11.00,-11.00,,115,80.4
4,138,-14.50,-11.88,-11.88,,253,162.1
5,17,-5.50,-10.60,-10.60,,270,185.7
6,37,-11.50,-10.75,-10.75,,307,213.3
7,36,2.50,-8.86,-8.86,,343,240.3
8,35,-4.50,-8.31,-8.31,,378,266.7
9,40,-8.50,-8.33,-8.33,,418,295.8
10,37,-10.00,-8.50,-8.50,,455,323.4
11,40,-8.50,-8.50,-8.50,,495,352.5
12,24,-6.50,-8.33,-8.33,,519,378.6
13,36,-12.50,-8.65,-8.65,,555,405.7
