episode,steps,reward,avg_reward_100,avg_reward_20,loss,total_steps,elapsed_sec
1,10,-5.50,-5.50,-5.50,,10,9.3
2,41,-16.00,-10.75,-10.75,,51,41.6
3,45,-14.00,-11.83,-11.83,,96,76.9
4,35,-15.00,-12.62,-12.62,,131,105.6
5,40,-14.50,-13.00,-13.00,,171,136.5
6,31,-8.50,-12.25,-12.25,,202,162.7
7,32,-7.50,-11.57,-11.57,,234,188.9
8,24,-6.50,-10.94,-10.94,,258,216.7
9,35,-6.00,-10.39,-10.39,,293,243.6
10,55,-16.00,-10.95,-10.95,,348,283.8
11,37,-11.50,-11.00,-11.00,,385,315.4
12,32,-4.50,-10.46,-10.46,,417,341.6
13,34,-11.50,-10.54,-10.54,,451,367.9
14,52,-18.50,-11.11,-11.11,,503,407.9
15,22,-10.50,-11.07,-11.07,,525,434.2
16,39,-11.00,-11.06,-11.06,,564,464.4
17,33,-9.50,-10.97,-10.97,,597,491.1
18,32,-12.00,-11.03,-11.03,,629,517.4
19,56,-15.00,-11.24,-11.24,,685,557.0
20,41,-16.00,-11.47,-11.47,,726,589.9
21,27,-8.00,-11.31,-11.60,,753,613.1
22,28,-6.00,-11.07,-11.10,,781,641.9
23,35,-13.50,-11.17,-11.07,,816,669.6
24,37,-14.50,-11.31,-11.05,,853,699.4
25,38,-15.00,-11.46,-11.07,,891,729.3
26,40,-8.50,-11.35,-11.07,,931,759.8
27,32,-9.00,-11.26,-11.15,,963,786.2
28,54,-15.50,-11.41,-11.60,,1017,825.6
29,28,-13.00,-11.47,-11.95,,1045,854.0
30,34,-11.50,-11.47,-11.72,,1079,881.4
31,31,-10.00,-11.42,-11.65,,1110,907.9
32,36,-14.00,-11.50,-12.12,,1146,936.1
33,36,-11.00,-11.48,-12.10,,1182,964.0
34,32,-10.50,-11.46,-11.70,,1214,990.7
35,57,-10.50,-11.43,-11.70,,1271,1032.7
36,22,-12.00,-11.44,-11.75,,1293,1059.0
37,32,-4.50,-11.26,-11.50,,1325,1085.2
38,29,-9.00,-11.20,-11.35,,1354,1111.9
39,32,-9.00,-11.14,-11.05,,1386,1138.9
40,35,-7.50,-11.05,-10.62,,1421,1166.0
41,32,-9.00,-11.00,-10.68,,1453,1192.3
42,30,-7.50,-10.92,-10.75,,1483,1220.5
43,34,-11.50,-10.93,-10.65,,1517,1248.2
44,21,-6.50,-10.83,-10.25,,1538,1272.8
45,33,-5.00,-10.70,-9.75,,1571,1299.2
46,47,-12.00,-10.73,-9.93,,1618,1334.8
47,44,-12.00,-10.76,-10.07,,1662,1366.8
48,33,-6.50,-10.67,-9.62,,1695,1394.1
49,53,-11.50,-10.68,-9.55,,1748,1434.6
50,34,-5.50,-10.58,-9.25,,1782,1461.8
51,25,-7.00,-10.51,-9.10,,1807,1490.0
52,41,-4.50,-10.39,-8.62,,1848,1520.8
