episode,steps,reward,avg_reward_100,avg_reward_20,loss,total_steps,elapsed_sec
1,30,-9.50,-9.50,-9.50,,30,28.2
2,28,-8.00,-8.75,-8.75,,58,55.9
3,27,-10.50,-9.33,-9.33,,85,84.4
4,28,-11.00,-9.75,-9.75,,113,113.5
5,43,-16.50,-11.10,-11.10,,156,163.3
6,28,-11.00,-11.08,-11.08,,184,193.1
7,29,-10.00,-10.93,-10.93,,213,223.5
8,30,-10.00,-10.81,-10.81,,243,256.4
9,20,-9.00,-10.61,-10.61,,263,282.9
10,29,-11.00,-10.65,-10.65,,292,315.2
11,29,-11.00,-10.68,-10.68,,321,347.3
12,27,-10.50,-10.67,-10.67,,348,375.7
13,27,-10.50,-10.65,-10.65,,375,405.0
14,28,-11.00,-10.68,-10.68,,403,435.1
15,27,-10.50,-10.67,-10.67,,430,464.2
16,27,-10.50,-10.66,-10.66,,457,492.9
17,27,-10.50,-10.65,-10.65,,484,521.9
