episode,steps,reward,avg_reward_100,avg_reward_20,loss,total_steps,elapsed_sec
1,62,14.40,14.40,14.40,,62,35.0
2,46,13.50,13.95,13.95,,108,66.3
3,63,16.50,14.80,14.80,,171,106.2
4,51,9.90,13.57,13.57,,222,140.0
5,58,17.30,14.32,14.32,,280,178.4
6,36,7.40,13.17,13.17,,316,204.7
7,36,8.60,12.51,12.51,,352,231.0
8,36,7.30,11.86,11.86,,388,257.3
9,60,14.70,12.18,12.18,,448,295.7
10,38,10.40,12.00,12.00,,486,322.9
11,34,2.20,11.11,11.11,,520,349.1
12,36,6.50,10.73,10.73,,556,375.3
13,63,19.90,11.43,11.43,,619,415.2
14,46,14.60,11.66,11.66,,665,446.5
15,36,4.50,11.18,11.18,,701,472.7
16,51,11.10,11.17,11.17,,752,506.5
17,34,5.60,10.85,10.85,,786,532.7
18,60,18.10,11.25,11.25,,846,571.1
19,46,15.80,11.49,11.49,,892,602.4
20,36,3.00,11.06,11.06,,928,628.6
21,52,13.10,11.16,11.00,,980,662.9
22,36,9.80,11.10,10.81,,1016,689.2
23,44,10.50,11.07,10.51,,1060,720.3
24,52,9.10,10.99,10.47,,1112,754.6
25,51,14.30,11.12,10.33,,1163,788.8
26,63,20.00,11.47,10.96,,1226,828.7
27,36,3.50,11.17,10.70,,1262,854.9
28,41,15.60,11.33,11.11,,1303,884.6
29,37,2.60,11.03,10.51,,1340,911.4
30,38,12.70,11.08,10.62,,1378,938.7
31,63,20.30,11.38,11.53,,1441,978.7
32,51,10.00,11.34,11.70,,1492,1012.5
33,58,12.00,11.36,11.31,,1550,1050.9
34,36,4.20,11.15,10.79,,1586,1077.1
35,45,6.10,11.00,10.87,,1631,1107.8
36,51,13.50,11.07,10.99,,1682,1141.7
37,36,3.10,10.86,10.87,,1718,1167.9
38,36,7.70,10.77,10.34,,1754,1194.2
39,40,6.70,10.67,9.89,,1794,1223.4
40,36,8.80,10.62,10.18,,1830,1249.6
41,37,3.50,10.45,9.70,,1867,1276.4
42,36,8.70,10.41,9.64,,1903,1302.7
43,46,12.50,10.46,9.75,,1949,1334.1
44,37,5.80,10.35,9.58,,1986,1360.9
45,48,16.30,10.48,9.68,,2034,1393.5
46,44,15.80,10.60,9.47,,2078,1424.6
47,40,7.50,10.53,9.67,,2118,1454.9
48,41,8.60,10.49,9.32,,2159,1484.2
49,62,17.10,10.63,10.05,,2221,1524.3
50,47,12.50,10.66,10.04,,2268,1557.2
51,61,19.70,10.84,10.00,,2329,1597.2
52,51,12.40,10.87,10.12,,2380,1631.1
53,37,4.90,10.76,9.77,,2417,1657.8
54,35,2.60,10.61,9.69,,2452,1683.9
55,41,6.80,10.54,9.73,,2493,1713.5
56,46,9.30,10.52,9.52,,2539,1746.0
57,36,7.40,10.46,9.73,,2575,1773.1
58,51,11.00,10.47,9.90,,2626,1807.0
59,65,17.90,10.60,10.46,,2691,1848.9
60,41,7.60,10.55,10.39,,2732,1878.6
61,34,3.70,10.43,10.40,,2766,1904.2
62,35,9.60,10.42,10.45,,2801,1930.5
63,57,12.00,10.45,10.42,,2858,1968.1
64,40,10.80,10.45,10.68,,2898,1996.5
65,46,14.60,10.52,10.59,,2944,2027.8
66,46,11.70,10.53,10.39,,2990,2059.0
67,54,13.30,10.57,10.68,,3044,2094.4
68,47,12.30,10.60,10.86,,3091,2127.1
69,41,8.70,10.57,10.44,,3132,2155.9
70,36,3.40,10.47,9.99,,3168,2182.3
71,45,8.40,10.44,9.42,,3213,2213.5
72,30,4.80,10.36,9.04,,3243,2237.2
73,35,3.70,10.27,8.98,,3278,2263.3
74,67,25.50,10.48,10.13,,3345,2306.4
75,37,2.80,10.37,9.93,,3382,2333.2
76,36,8.90,10.36,9.91,,3418,2359.4
77,36,5.70,10.29,9.82,,3454,2385.8
78,35,3.50,10.21,9.45,,3489,2412.1
79,48,13.50,10.25,9.23,,3537,2445.3
80,34,3.80,10.17,9.04,,3571,2471.6
81,50,15.70,10.24,9.64,,3621,2505.8
82,46,17.80,10.33,10.05,,3667,2537.1
83,58,20.60,10.45,10.48,,3725,2575.0
84,54,12.40,10.48,10.56,,3779,2610.4
85,68,29.40,10.70,11.29,,3847,2653.7
86,33,10.90,10.70,11.26,,3880,2681.4
87,326,-1.20,10.56,10.53,,4206,2855.8
88,25,12.80,10.59,10.56,,4231,2878.0
89,61,18.30,10.68,11.04,,4292,2919.1
90,43,12.50,10.70,11.49,,4335,2949.7
91,66,23.00,10.83,12.22,,4401,2993.4
92,41,8.50,10.81,12.41,,4442,3024.1
93,40,10.70,10.81,12.76,,4482,3054.6
94,61,19.50,10.90,12.46,,4543,3096.6
95,40,12.70,10.92,12.95,,4583,3127.0
96,47,8.40,10.89,12.93,,4630,3161.5
