episode,steps,reward,avg_reward_100,avg_reward_20,loss,total_steps,elapsed_sec
1,33,-12.50,-12.50,-12.50,,33,21.1
2,75,-15.00,-13.75,-13.75,,108,68.3
3,25,-12.50,-13.33,-13.33,,133,89.8
4,37,-13.00,-13.25,-13.25,,170,117.7
5,36,-12.50,-13.10,-13.10,,206,144.9
6,37,-14.00,-13.25,-13.25,,243,172.8
7,22,-11.00,-12.93,-12.93,,265,198.7
8,33,-11.00,-12.69,-12.69,,298,224.9
9,34,-11.00,-12.50,-12.50,,332,251.8
10,34,-11.00,-12.35,-12.35,,366,278.1
11,35,-11.00,-12.23,-12.23,,401,305.1
12,33,-11.00,-12.12,-12.12,,434,331.5
13,32,-11.00,-12.04,-12.04,,466,357.6
