episode,steps,reward,avg_reward_100,avg_reward_20,loss,total_steps,elapsed_sec
1,30,-11.00,-11.00,-11.00,,30,19.0
2,19,-10.10,-10.55,-10.55,,49,36.6
3,37,-9.70,-10.27,-10.27,,86,63.5
4,48,-9.10,-9.97,-9.97,,134,95.9
5,44,-9.30,-9.84,-9.84,,178,126.3
6,37,-10.20,-9.90,-9.90,,215,153.1
7,36,-10.10,-9.93,-9.93,,251,179.5
8,41,-8.80,-9.79,-9.79,,292,209.5
9,45,-8.90,-9.69,-9.69,,337,240.3
10,51,-9.00,-9.62,-9.62,,388,274.2
11,38,-9.80,-9.64,-9.64,,426,301.6
12,60,-8.00,-9.50,-9.50,,486,340.1
13,38,-10.30,-9.56,-9.56,,524,368.2
14,36,-10.90,-9.66,-9.66,,560,394.5
15,37,-10.90,-9.74,-9.74,,597,421.3
16,36,-10.90,-9.81,-9.81,,633,447.5
17,36,-10.50,-9.85,-9.85,,669,473.8
18,37,-11.00,-9.92,-9.92,,706,500.7
19,37,-10.90,-9.97,-9.97,,743,527.5
20,38,-11.00,-10.02,-10.02,,781,555.6
21,36,-10.70,-10.05,-10.00,,817,581.8
22,36,-10.90,-10.09,-10.04,,853,608.1
23,36,-10.90,-10.13,-10.11,,889,634.5
24,37,-11.00,-10.16,-10.20,,926,661.2
25,36,-10.80,-10.19,-10.28,,962,687.5
26,36,-11.00,-10.22,-10.32,,998,713.8
27,35,-11.00,-10.25,-10.36,,1033,740.3
28,39,-11.00,-10.28,-10.47,,1072,768.1
29,32,-11.00,-10.30,-10.57,,1104,792.5
30,36,-10.70,-10.31,-10.66,,1140,818.7
