episode,steps,reward,avg_reward_100,avg_reward_20,loss,total_steps,elapsed_sec
1,26,-11.00,-11.00,-11.00,,26,17.5
2,42,-11.00,-11.00,-11.00,,68,47.8
3,36,-11.00,-11.00,-11.00,,104,74.9
4,51,-9.00,-10.50,-10.50,,155,109.8
5,50,-9.00,-10.20,-10.20,,205,144.3
6,37,-10.00,-10.17,-10.17,,242,172.2
7,22,-11.00,-10.29,-10.29,,264,198.2
8,45,-10.00,-10.25,-10.25,,309,230.5
9,37,-11.00,-10.33,-10.33,,346,258.3
10,38,-11.00,-10.40,-10.40,,384,286.6
11,38,-9.00,-10.27,-10.27,,422,314.7
12,38,-9.00,-10.17,-10.17,,460,342.9
13,34,-11.00,-10.23,-10.23,,494,369.1
14,25,-11.00,-10.29,-10.29,,519,395.5
15,36,-11.00,-10.33,-10.33,,555,422.6
16,34,-11.00,-10.38,-10.38,,589,448.7
